Code gare;Intitul̩ gare;Nombre plateformes;Segment DRG;UIC;Unit̩ gare;TVS;Code postal;Commune;D̩partement - Commune;D̩partement;R̩gion;Agence G&C;R̩gion SNCF;Niveau de service;Longitude WGS 84;Latitude WGS 84;Date fin validit̩ gare
1774;Avranches;1;c;87448514;;AVR;50300;Avranches;50-025;Manche;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-1.3700755;48.6902445;
1775;Vire;1;c;87448159;;VIR;14500;Vire;14-762;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.882884;48.846329;
1776;Briouze;1;c;87448084;;BZN;61220;Briouze;61-063;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.3682036;48.7018622;
1777;Flers;1;b;87448001;;FLS;61100;Flers;61-169;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.573216;48.744785 ;
1778;Saint-Sever;1;c;87447714;;SSX;14380;Saint-Sever-Calvados;14-658;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-1.0516979;48.843608;
1779;Villedieu-les-Po̻les;1;c;87447698;;VDS;50800;Villedieu-les-Po̻les;50-639;Manche;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-1.225559;48.8340495;
1780;Granville;1;b;87447680;;GRV;50400;Granville;50-218;Manche;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;2;-1.587757;48.838456  ;
1781;Folligny;1;c;87447649;;FOL;50320;Folligny;50-188;Manche;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-1.4072231;48.8299461;
1782;Valognes;1;b;87447284;;VAS;50700;Valognes;50-615;Manche;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-1.479860;49.505454  ;
1783;Carentan;1;b;87447243;;CAR;50500;Carentan;50-099;Manche;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-1.244938;49.302482  ;
1784;Lison;1;b;87447219;;LSN;14330;Lison;14-367;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-1.050339;49.226834;
1785;Pont-H̩bert;1;c;87447185;;PNT;50880;Pont-H̩bert;50-409;Manche;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-1.1266871;49.1625444;
1786;Carantilly - Marigny;1;c;87447144;;CIG;50570;Carantilly;50-098;Manche;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-1.2445285;49.06786;
1787;Coutances;1;b;87447110;;CCS;50200;Coutances;50-147;Manche;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-1.441726;49.042928  ;
1788;Saint-L̫;1;b;87447003;;SLO;50000;Saint-L̫;50-502;Manche;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;2;-1.099525;49.116975  ;
1789;Saint-Cyprien Ar̬nes;1;b;87446179;;TEW;31300;Toulouse;31-555;Haute-Garonne;Midi-Pyr̩n̩es;AG Sud-Ouest;REGION MIDI PYRENEES;1;1.417986;43.593438  ;
1790;Cherbourg;1;a;87444877;;CBU;50100;Cherbourg-Octeville;50-129;Manche;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;2; -1.621515;49.633505;
1791;Alen̤on;1;b;87444711;;ALN;61000;Alen̤on;61-001;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;2;0.098531;48.433884 ;
1792;S̩es;1;c;87444695;;SKS;61500;S̩es;61-464;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.1661851;48.5998998;
1793;L'Aigle;1;b;87444638;;LAE;61300;Aigle;61-214;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.620014;48.766229  ;
1794;Rai - Aube;1;c;87444620;;RAE;61270;Rai;61-342;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.5536992;48.7437153;
1795;Sainte-Gauburge;1;c;87444604;;SGG;61370;Sainte-Gauburge-Sainte-Colombe;61-389;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.4281082;48.7172632;
1796;Le Merlerault;1;c;87444588;;LLT;61240;Merlerault;61-275;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.2832169;48.7024888;
1797;Nonant-le-Pin;1;c;87444570;;NAL;61240;Nonant-le-Pin;61-310;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.2194656;48.7037802;
1798;Surdon;1;c;87444562;;SDN;61570;Ch̢teau-d'Almen̻ches;61-101;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.1344097;48.6647685;
1799;��couch̩;1;c;87444547;;ECE;61150;��couch̩;61-153;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.1209574;48.7151009;
1800;Argentan;1;b;87444539;;ARG;61200;Argentan;61-006;Orne;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;2;-0.025291;48.738545 ;
1801;Dives - Cabourg;1;c;87444414;;DVQ;14390;Dives-sur-Mer;14-225;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.1074996;49.2864776;
1802;Houlgate;1;c;87444406;;HOE;14510;Houlgate;14-338;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.0772276;49.3000711;
1803;Villers-sur-Mer;1;c;87444398;;VIU;14640;Villers-sur-Mer;14-754;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.0099283;49.3159865;
1804;Blonville-sur-Mer - Benerville;1;c;87444380;;BWB;14910;Blonville-sur-Mer;14-079;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.0356856;49.3313919;
1805;Trouville - Deauville;1;a;87444372;;TDE;14360;Deauville;14-220;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;2; 0.084167;49.360005;
1806;Pont-l'��v̻que;1;c;87444349;;PVQ;14130;Pont-l'��v̻que;14-514;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.1921947;49.2870379;
1807;Le Grand Jardin;1;c;87444323;;GDJ;14190;Lisieux;14-366;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.2271143;49.1505827;
1808;Serquigny;1;c;87444315;;SYD;27470;Serquigny;27-622;Eure;Haute-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.7189895;49.1074117;
1809;Bernay;1;b;87444299;;BEY;27300;Bernay;27-056;Eure;Haute-Normandie;AG Manche-Nord;REGION NORMANDIE;2;0.595634;49.087102;
1810;Lisieux;1;a;87444265;;LIS;14100;Lisieux;14-366;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;2; 0.231143;49.138299;
1811;Couliboeuf;1;c;87444232;;CLB;14620;Morteaux-Coulib��uf;14-452;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.0984574;48.9237487;
1812;Saint-Pierre-sur-Dives;1;c;87444216;;SPD;14170;Saint-Pierre-sur-Dives;14-654;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.0405855;49.0231057;
1813;M̩zidon;1;b;87444208;;MEZ;14270;M̩zidon-Canon;14-431;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.07496;49.07100;
1814;Moult - Argences;1;c;87444190;;MTA;14370;Moult;14-456;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.1864355;49.1111851;
1815;Fr̩nouville - Cagny;1;c;87444182;;FVL;14630;Fr̩nouville;14-287;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.2603256;49.1411192;
1816;Le Molay-Littry;1;c;87444083;;MLW;14330;Molay-Littry;14-370;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.8809741;49.2493263;
1817;Bayeux;1;b;87444067;;BAY;14400;Bayeux;14-047;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;2;-0.698056;49.269836;
1818;Audrieu;1;c;87444059;;ADR;14250;Audrieu;14-026;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.5960138;49.2161315;
1819;Bretteville - Norrey;1;c;87444042;;BVO;14740;Saint-Manvieu-Norrey;14-610;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;1;-0.5127396;49.2034112;
1820;Caen;1;a;87444000;;CAE;14000;Caen;14-118;Calvados;Basse-Normandie;AG Manche-Nord;REGION NORMANDIE;2; -0.347613;49.176354;
1824;Vitrolles A̩roport Marseille Provence;1;b;87439554;;AYD;13127;Vitrolles;13-117;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;AG M̩diterran̩e;REGION PROVENCE ALPES COTE D'AZUR;1;5.237122;43.441734  ;
1826;Aytr̩ Plage;1;c;87437806;;ATL;17440;Aytr̩;17-028;Charente-Maritime;Poitou-Charentes;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;1;-1.1280462;46.1273815;
1827;La Rochelle Porte Dauphine;1;c;87437798;;LRA;17000;Rochelle;17-300;Charente-Maritime;Poitou-Charentes;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;1;-1.1518412;46.16755;
1828;Rougemont Chanteloup;1;b;87431791;;;93270;Sevran;93-071;Seine-Saint-Denis;�_le-de-France;AG Ile-de-France;REGION DE PARIS-EST;;2.515020;48.930895  ;
1829;Lancey;1;c;87417501;;LCW;38190;Villard-Bonnot;38-547;Is̬re;Rh̫ne-Alpes;AG Centre Est Rh̫ne Alpin;REGION ALPES;1;5.8809758;45.2344784;
1830;Franchet d'Esperey;1;c;87417444;;FRP;51100;Reims;51-454;Marne;Champagne-Ardenne;AG Est-Europ̩en;REGION CHAMPAGNE-ARDENNE;1;4.013869;49.2425356;
1831;Bonni̬res;1;b;87415893;;BNR;78270;Bonni̬res-sur-Seine;78-089;Yvelines;�_le-de-France;AG Ile-de-France;REGION DE PARIS SAINT-LAZARE;;1.582205;49.038788  ;
1832;Rosny-sur-Seine;1;b;87415885;;RSS;78710;Rosny-sur-Seine;78-531;Yvelines;�_le-de-France;AG Ile-de-France;REGION DE PARIS SAINT-LAZARE;;1.630090;48.997287  ;
1833;Val-de-Reuil;1;b;87415877;;VDR;27100;Val-de-Reuil;27-701;Eure;Haute-Normandie;AG Manche-Nord;REGION NORMANDIE;2;1.224147;49.275437  ;
1835;Pont-de-l'Arche;1;c;87415661;;PAR;27340;Pont-de-l'Arche;27-469;Eure;Haute-Normandie;AG Manche-Nord;REGION NORMANDIE;1;1.1596559;49.3170928;
1836;Saint-Pierre-du-Vauvray;1;c;87415646;;SPY;27430;Saint-Pierre-du-Vauvray;27-598;Eure;Haute-Normandie;AG Manche-Nord;REGION NORMANDIE;1;1.2248947;49.2339135;
1837;Gaillon - Aubevoye;1;b;87415620;;GAA;27600;Aubevoye;27-022;Eure;Haute-Normandie;AG Manche-Nord;REGION NORMANDIE;2;1.352461;49.174626  ;
1838;Vernon - Giverny;1;b;87415604;;VNO;27200;Vernon;27-681;Eure;Haute-Normandie;AG Manche-Nord;REGION NORMANDIE;2;1.478570;49.091336  ;
1839;Brionne;1;c;87415364;;BEU;27800;Brionne;27-116;Eure;Haute-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.7115304;49.1964187;
1840;Glos - Montfort;1;c;87415349;;GLO;27290;Glos-sur-Risle;27-288;Eure;Haute-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.6828396;49.2715983;
1841;Bourgtheroulde - Thuit-H̩bert;1;c;87415323;;BGT;27520;Thuit-H̩bert;27-637;Eure;Haute-Normandie;AG Manche-Nord;REGION NORMANDIE;1;0.8383198;49.3174381;
1842;Saint-Victor;1;c;87415166;;SIC;76890;Saint-Victor-l'Abbaye;76-656;Seine-Maritime;Haute-Normandie;AG Manche-Nord;REGION NORMANDIE;1;1.1097122;49.6770346;
